,Price in Rupees,Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year)
108,52,1,4,5,1,8,3,22,0
109,56,2,4,6,1,8,4,41,1
110,44,1,3,5,1,8,3,22,0
111,46,1,3,5,1,9,3,22,0
112,45,1,3,5,1,8,3,22,0
113,55,1,3,5,1,12,3,31,1
114,42,2,4,5,1,15,3,22,0
115,33,0,3,6,1,5,3,15,1
116,56,1,3,5,1,12,4,41,0
117,32,0,2,5,1,9,4,41,0
118,43,1,3,5,1,8,4,22,0
119,33,0,3,6,1,5,3,15,1
120,80,2,5,6,1,24,5,46,1
121,62,2,4,6,1,17,6,26,1
122,62,2,4,6,1,17,6,26,1
123,62,2,4,6,1,17,6,26,1
124,76,3,5,6,1,10,4,22,1
125,66,2,4,6,1,19,3,30,1
126,66,2,4,6,1,19,3,30,1
127,61,1,4,8,1,22,3,33,1
128,62,2,4,5,1,18,3,49,0
129,76,3,5,6,1,10,4,22,1
130,79,2,4,6,1,24,4,43,1
131,80,2,4,8,1,23,8,33,1
132,76,3,5,6,1,10,4,22,1
133,71,1,4,6,1,22,4,46,1
134,75,3,5,5,1,9,3,26,1
135,79,2,4,6,1,22,4,46,1
136,71,1,4,6,1,22,4,46,1
137,79,2,4,6,1,22,4,46,1
138,80,2,4,8,1,23,8,33,1
139,80,3,5,6,1,17,6,26,1
140,73,3,5,6,1,20,6,22,1
141,61,1,3,6,1,22,4,46,1
142,80,3,5,6,1,17,6,26,1
143,61,1,4,6,1,24,3,43,1
144,29,0,3,5,1,5,3,22,1
145,25,0,2,5,1,5,3,22,1
146,29,0,3,5,1,5,3,22,1
147,25,1,3,5,1,8,4,24,1
148,31,1,3,5,1,8,3,41,1
149,31,1,3,5,1,8,3,41,1
150,31,1,3,5,1,8,3,41,1
151,28,0,3,2,1,8,3,49,1
152,30,1,3,6,1,8,3,17,1
153,22,0,2,5,1,2,2,7,0
154,29,1,3,5,1,7,2,22,0
155,31,1,3,6,1,8,3,22,1
156,19,1,3,5,1,7,3,22,0
157,9,0,2,5,1,7,3,18,0
158,31,1,3,2,1,8,3,22,0
159,23,0,2,2,1,2,3,7,0
160,31,1,3,5,1,8,3,11,0
161,31,0,3,2,1,8,3,22,1
162,18,0,2,2,1,2,3,5,0
163,18,0,2,4,1,2,3,5,0
164,62,2,4,6,1,17,6,26,1
165,86,2,4,6,1,26,5,41,1
166,97,3,5,6,1,26,5,41,1
167,72,3,5,5,1,16,5,32,0
168,92,4,5,5,1,17,7,41,1
169,72,3,5,5,1,16,5,32,0
170,92,3,5,6,1,25,7,41,1
171,82,3,5,6,1,26,6,34,1
172,82,3,5,6,1,26,6,34,1
